TransactionNo,Bread,Beverage,Cleaner,CannedGoods,Dairy,Drink,Dry_BakingGoods,FrozenFood,Fruit,Meat,PaperGoods,PersonalCare,Tobacco,Vegetable
1,1,1,1,1,1,0,0,1,1,0,1,0,0,1
2,1,1,1,0,1,0,0,1,1,0,1,0,0,1
3,1,0,0,0,1,1,0,0,1,0,0,1,1,1
4,1,0,0,1,0,0,0,1,1,1,0,1,1,1
5,1,1,0,0,1,0,0,0,0,1,0,1,0,0
6,1,1,0,0,1,1,0,0,1,1,1,1,1,1
7,1,0,0,0,0,1,0,0,1,1,0,1,0,1
8,1,1,0,0,1,0,0,1,1,0,0,1,0,1
9,1,1,1,0,0,0,1,0,0,0,1,0,1,0
10,1,0,0,1,1,1,0,0,1,0,0,1,1,1
11,1,0,1,0,1,0,0,1,1,0,1,1,0,1
12,1,0,0,1,1,1,0,1,1,0,1,1,1,1
13,0,1,0,0,1,0,1,0,1,1,0,0,1,1
14,1,0,1,0,1,0,0,0,1,0,1,0,0,0
15,1,1,0,1,1,1,1,1,1,0,0,1,0,1
16,1,1,0,0,1,0,0,0,1,1,1,0,1,1
17,0,1,0,1,1,0,1,1,0,0,0,0,0,0
18,1,1,0,1,1,0,0,1,1,0,1,0,0,1
19,1,1,1,0,1,0,0,0,1,0,1,0,0,1
20,1,1,0,1,0,0,0,1,1,0,0,0,0,1
21,0,1,0,1,0,0,1,1,1,0,1,0,0,1
22,1,0,1,1,1,1,0,1,0,0,0,1,0,1
23,0,1,0,1,0,0,1,1,1,0,0,1,0,1
24,1,1,0,1,1,0,0,0,1,0,1,0,0,1
25,0,1,0,1,1,0,0,1,1,0,1,0,0,1
26,1,1,0,1,0,0,0,1,1,0,0,1,0,1
27,1,1,0,0,1,0,0,0,1,1,0,0,0,1
28,0,0,0,1,1,1,1,1,0,0,0,1,1,0
29,1,1,1,1,1,0,0,0,1,0,1,1,1,1
30,1,1,1,0,0,0,0,1,1,0,1,0,0,1
31,0,1,1,1,1,0,0,1,1,0,1,0,0,0
32,1,1,0,1,0,0,1,1,1,1,0,0,1,0
33,1,0,0,1,1,1,0,1,1,0,0,1,0,1
34,1,1,0,0,1,0,0,1,1,0,1,0,0,1
35,1,1,0,1,1,0,0,1,0,0,1,1,1,0
36,1,0,0,0,1,0,0,0,1,1,0,0,0,1
37,0,0,1,1,1,1,0,1,1,0,1,1,1,1
38,1,1,0,0,1,1,0,0,1,1,0,0,1,1
39,1,1,0,1,1,0,0,1,1,0,0,0,0,1
40,1,1,0,0,1,0,0,0,1,1,1,0,0,1
41,1,1,0,0,1,0,0,0,1,1,0,0,0,1
42,0,1,0,1,0,0,1,0,1,0,1,1,0,1
43,1,1,0,0,1,0,0,1,1,0,0,0,0,0
44,1,1,0,0,0,0,0,1,1,0,1,0,0,1
45,1,0,0,0,1,1,0,1,0,0,0,1,1,0
46,1,0,0,0,1,1,0,1,1,1,0,1,1,1
47,0,1,0,1,1,0,1,1,1,0,1,1,0,1
48,1,1,0,1,1,0,1,1,1,0,0,1,0,1
49,1,0,0,0,1,1,0,0,1,1,0,1,1,1
50,1,1,0,0,0,0,0,0,1,0,0,1,1,1
51,0,1,1,0,0,0,0,0,1,1,1,1,1,0
52,1,0,1,0,0,1,0,1,1,0,1,1,1,1
53,1,0,0,1,1,1,0,1,0,0,1,1,1,0
54,1,1,0,0,1,0,0,0,1,0,1,1,0,1
55,1,1,0,0,1,0,0,0,1,1,0,1,0,1
56,0,1,0,0,1,0,1,0,1,1,0,1,0,1
57,1,1,1,0,1,0,0,1,1,0,1,0,1,1
58,1,1,0,0,1,0,0,1,1,0,0,0,0,1
59,1,1,0,0,1,0,0,0,1,1,1,0,0,0
60,1,1,0,0,1,0,0,0,1,1,1,1,0,1
61,1,0,0,0,1,0,0,0,0,0,0,1,0,0
62,1,1,1,0,0,0,0,0,1,0,1,1,0,1
63,1,1,1,0,1,0,1,0,1,1,0,1,0,1
64,1,1,0,0,0,0,0,0,1,1,1,1,0,1
65,0,1,0,1,1,0,0,1,1,0,0,1,0,1
66,1,0,0,0,1,1,0,1,1,0,0,1,1,1
67,1,1,0,0,0,0,0,0,0,1,0,1,0,1
68,1,1,0,1,1,0,0,0,0,0,0,1,0,0
69,1,1,0,0,1,0,0,1,1,0,1,0,0,1
70,1,0,0,1,1,1,0,1,1,0,0,1,1,1
71,1,0,0,0,0,0,0,0,0,1,1,1,0,1
72,1,1,1,0,1,0,0,1,1,0,1,1,0,1
73,1,1,0,0,1,1,1,1,1,0,1,1,0,0
74,0,0,1,0,1,1,0,0,0,1,1,1,1,0
75,1,1,0,1,1,1,0,1,1,1,0,1,1,1
76,1,1,0,0,0,0,0,0,1,0,0,0,0,1
77,1,1,0,0,1,0,1,0,1,0,0,0,0,1
78,1,1,0,0,1,0,0,1,1,0,0,0,0,1
79,1,1,1,1,1,0,0,1,0,0,1,1,0,1
80,1,0,0,1,1,1,0,1,1,0,1,1,1,0
81,1,0,0,1,1,1,0,1,1,0,0,1,1,1
82,1,1,1,1,1,0,0,1,1,0,0,0,1,1
83,0,1,0,0,0,0,0,0,0,1,0,0,0,0
84,1,1,1,0,0,0,0,0,1,1,1,0,0,1
85,1,1,0,0,0,0,0,0,1,1,0,1,0,1
86,1,0,0,1,1,1,1,1,1,0,0,1,0,1
87,1,1,0,0,0,0,0,0,1,1,0,0,0,1
88,1,1,0,1,1,1,0,1,1,1,0,1,1,1
89,1,1,0,1,0,0,1,1,1,0,0,1,0,1
90,0,1,0,0,1,0,0,1,1,0,0,1,0,1
91,1,0,0,0,1,0,0,0,1,0,1,1,0,0
92,1,0,0,0,1,1,0,0,1,0,0,1,1,1
93,1,1,0,0,1,0,0,0,0,1,0,0,0,1
94,1,1,0,0,1,0,0,1,1,0,0,0,0,1
95,1,0,0,0,1,0,0,1,1,0,1,0,0,1
96,1,1,1,0,0,0,1,0,0,0,0,1,0,0
97,1,1,0,0,1,0,0,1,1,1,0,1,0,1
98,0,0,0,1,1,1,1,0,1,1,1,1,0,1
99,1,0,0,1,1,1,0,1,1,0,0,1,1,1
100,1,0,0,1,1,1,0,0,1,0,1,1,1,1
101,1,1,0,0,1,1,0,0,1,0,1,1,1,1
102,1,0,0,1,0,0,0,1,1,0,0,1,0,0
103,1,1,0,0,1,0,0,0,1,1,0,1,0,1
104,1,0,1,1,1,1,0,1,1,0,1,1,0,0
105,1,1,0,1,1,0,0,1,1,0,0,0,0,1
106,1,1,0,0,0,1,0,0,1,1,0,1,1,1
107,0,1,0,0,1,0,0,1,1,1,0,1,0,1
108,1,0,1,0,1,0,0,0,1,0,1,0,0,1
109,1,1,0,1,1,1,0,1,1,1,0,0,1,1
110,1,1,0,0,1,0,0,0,1,1,1,1,0,1
111,0,1,1,1,0,0,1,1,1,0,0,0,1,1
112,1,1,0,0,1,0,0,0,1,1,0,1,1,1
113,1,0,0,0,0,0,0,1,1,0,1,1,0,1
114,1,1,1,0,1,0,0,0,1,0,1,1,1,1
115,1,0,1,0,1,1,0,0,0,0,1,1,1,1
116,1,1,0,0,1,0,1,1,1,0,0,0,0,1
117,1,1,0,0,0,0,0,0,1,1,0,1,0,1
118,1,0,0,0,1,0,0,1,1,0,0,1,0,1
119,1,0,0,1,0,1,0,1,1,0,0,1,1,1
120,1,0,0,1,0,0,0,1,0,0,1,0,0,1
121,1,0,0,1,1,0,0,1,1,0,1,0,0,1
122,0,1,0,1,1,0,1,1,1,0,0,1,0,1
123,1,1,1,0,1,0,0,0,1,1,1,1,0,1
124,1,1,0,0,1,0,0,0,1,0,1,0,0,1
125,1,1,0,1,0,0,0,1,0,0,0,0,0,0
126,1,1,0,0,1,1,0,0,1,0,0,1,1,1
127,1,1,0,0,1,0,0,0,1,0,0,0,0,1
128,1,1,0,0,1,0,0,0,0,0,1,0,1,0
129,1,1,0,0,0,0,0,1,1,0,0,0,0,1
130,1,1,1,1,1,0,1,1,1,0,1,0,1,1
131,0,1,0,0,0,0,0,0,0,0,0,1,0,0
132,1,1,0,0,1,0,0,0,1,1,0,0,0,0
133,0,1,0,0,1,0,1,0,1,1,1,0,0,1
134,1,1,0,1,1,0,0,1,0,0,0,0,0,0
135,0,1,1,0,1,0,0,0,1,1,1,0,1,1
136,1,1,0,1,1,0,0,1,1,0,1,0,0,1
137,1,1,0,0,1,0,0,1,1,0,0,1,0,1
138,1,1,0,0,1,0,0,1,0,0,1,1,0,0
139,0,1,0,1,1,0,1,1,0,0,0,0,1,0
140,1,1,0,0,1,0,0,0,1,0,1,0,0,1
141,0,1,1,0,0,0,1,0,0,0,0,1,0,1
142,1,1,0,1,0,1,0,1,1,0,1,1,1,1
143,1,1,0,0,0,0,0,0,1,0,0,1,1,1
144,1,0,0,0,0,1,0,1,1,0,0,1,1,1
145,0,1,0,0,1,0,1,0,1,1,0,0,0,1
146,0,0,1,0,1,1,0,0,1,1,1,1,1,1
147,0,1,1,0,1,0,1,0,1,1,1,0,1,1
148,1,1,0,1,1,0,0,1,1,0,0,1,0,1
149,1,0,0,0,1,1,0,0,0,1,0,0,1,1
150,1,1,0,0,0,0,0,0,1,1,0,0,0,1
151,1,0,0,1,1,0,1,1,1,0,1,1,0,1
152,1,1,1,0,0,0,0,0,0,1,1,1,0,1
153,1,0,0,0,0,1,0,1,1,0,0,1,1,1
154,1,1,1,1,0,0,0,0,1,0,1,1,0,1
155,1,0,0,1,1,0,0,1,1,0,0,0,0,1
156,1,1,0,0,1,0,0,0,1,1,1,1,0,1
157,1,1,0,0,1,1,0,0,1,0,1,1,1,1
158,1,0,0,0,1,1,0,0,0,0,1,1,0,0
159,1,1,1,0,1,0,0,0,1,1,1,0,1,1
160,0,1,0,0,1,0,1,0,1,0,0,1,0,1
161,1,1,0,0,1,0,0,0,1,0,0,0,1,1
162,1,0,1,0,1,1,0,1,1,0,1,1,1,1
163,0,1,1,1,0,0,0,1,1,0,1,1,0,0
164,1,1,0,1,1,0,0,1,1,0,0,1,0,1
165,1,0,0,1,1,1,0,1,1,0,0,1,1,1
166,1,1,0,0,1,1,0,0,0,1,1,1,1,0
167,1,0,0,1,0,1,0,1,0,0,1,1,1,0
168,1,0,0,0,1,1,0,1,1,0,1,1,1,1
169,1,0,0,1,0,1,0,1,1,0,0,1,1,1
170,1,1,1,0,0,1,1,1,1,0,1,1,1,1
171,1,0,0,0,1,1,0,0,1,0,0,1,1,1
172,0,1,0,0,1,0,0,1,1,1,0,0,0,1
173,1,1,0,1,0,0,1,1,1,0,0,0,0,1
174,1,0,0,0,1,1,0,1,1,1,1,1,0,1
175,1,0,0,0,1,1,0,0,1,1,1,1,1,1
176,0,1,0,0,1,0,1,0,0,1,1,1,0,1
177,1,1,0,0,1,0,0,1,1,1,0,1,0,1
178,1,0,0,1,0,1,0,1,1,0,0,1,1,1
179,0,1,1,0,1,0,0,1,1,0,1,1,0,1
180,1,0,0,0,0,1,0,1,0,1,0,1,1,0
181,0,1,1,0,1,0,0,0,1,0,0,1,0,1
182,1,0,1,0,1,0,0,0,1,0,1,0,1,0
183,1,1,1,0,1,0,0,0,0,1,1,0,0,0
184,1,1,1,1,1,0,0,1,1,0,0,1,1,1
185,1,1,0,0,1,0,0,0,1,0,0,0,0,1
186,1,1,0,0,1,0,0,0,1,1,0,0,0,1
187,1,1,0,0,1,0,0,0,1,1,0,0,0,1
188,1,1,0,0,1,0,0,0,1,1,0,1,0,1
189,1,1,1,0,1,0,1,0,0,1,0,0,0,0
190,1,1,0,0,1,0,0,0,1,1,0,0,0,1
191,1,1,0,1,1,0,0,1,1,0,1,0,0,1
192,1,1,1,0,1,0,0,1,1,0,1,0,0,1
193,1,1,0,0,1,0,0,0,1,1,1,1,0,1
194,1,1,0,1,1,0,0,1,1,0,0,0,0,1
195,1,1,0,0,1,0,0,0,1,0,0,1,0,1
196,1,1,0,0,0,0,0,1,1,0,1,0,1,0
197,1,0,0,0,1,1,0,0,0,1,1,1,1,1
198,1,1,0,1,1,0,0,1,1,0,0,1,0,1
199,1,1,0,0,1,0,0,0,0,1,0,0,0,0
200,1,0,0,1,0,0,0,1,1,1,0,1,0,1
201,1,0,1,0,1,0,0,0,1,1,1,1,0,1
202,1,1,1,1,1,0,0,1,1,0,1,0,0,1
203,1,0,0,1,1,0,0,1,1,1,1,0,0,1
204,0,0,0,0,1,1,1,0,0,0,1,1,1,1
205,1,1,0,1,0,0,0,1,0,0,0,1,0,0
206,0,1,0,0,1,0,0,0,1,1,1,1,0,0
207,1,1,0,0,0,0,0,0,0,0,0,1,0,0
208,1,1,0,1,1,0,0,1,1,0,1,1,0,1
209,1,0,1,1,1,0,0,1,1,0,1,0,0,1
210,1,0,1,1,1,1,0,1,1,0,1,1,0,1
211,0,1,0,0,1,0,1,0,1,0,0,0,1,1
212,0,0,1,1,1,0,1,1,1,0,1,0,0,1
213,1,1,0,1,1,0,0,1,0,0,0,0,0,0
214,1,0,1,0,1,1,0,0,1,1,1,1,1,1
215,1,1,1,1,1,0,0,1,1,1,1,1,1,1
216,1,1,0,1,1,0,0,1,1,0,1,0,0,1
217,1,1,0,0,0,0,0,0,1,1,1,0,0,1
218,1,1,1,0,0,0,0,1,1,0,0,0,0,1
219,1,1,0,0,1,0,0,1,0,0,0,0,1,1
220,1,0,1,1,1,0,0,1,1,0,1,1,0,1
221,0,1,0,0,1,0,1,1,1,0,0,0,0,1
222,1,0,0,1,1,0,0,1,1,0,0,1,0,1
223,1,1,1,0,1,0,0,1,1,0,1,1,0,1
224,1,0,0,0,0,1,0,1,1,0,1,1,1,1
225,0,1,0,0,1,1,1,0,1,1,0,1,1,1
226,1,1,1,0,1,0,0,0,1,1,1,0,0,1
227,1,1,0,0,1,0,0,1,1,1,0,1,1,1
228,1,0,1,0,1,0,0,0,0,1,1,0,0,0
229,0,1,0,1,0,0,0,1,1,0,0,1,0,1
230,1,0,0,1,0,1,0,1,1,0,1,1,0,1
231,1,1,0,0,0,0,1,1,1,0,0,0,0,1
232,1,1,0,1,0,0,0,1,1,0,1,1,0,0
233,0,0,0,0,1,0,1,1,1,0,0,0,0,1
234,1,1,0,1,0,1,0,1,1,0,1,1,1,1
235,1,0,0,0,0,1,0,0,1,0,0,1,1,1
236,0,1,0,1,1,0,0,1,1,0,0,0,0,1
237,1,1,0,1,1,0,0,1,1,0,0,1,0,1
238,0,1,0,0,1,0,1,1,1,0,0,1,0,1
239,1,0,0,0,1,0,0,0,1,1,0,0,0,1
240,1,1,0,0,1,0,0,0,1,0,1,1,0,1
241,1,1,1,1,1,0,0,1,1,0,1,0,1,1
242,1,1,1,1,1,0,0,1,1,0,1,0,0,0
243,1,0,0,0,1,1,0,0,0,0,0,1,0,1
244,1,0,1,1,1,0,0,1,1,0,1,1,1,1
245,1,1,0,1,1,1,0,1,1,0,0,1,1,1
246,1,1,0,0,1,0,0,0,1,1,0,0,0,1
247,0,1,0,0,1,0,1,0,0,0,1,0,0,1
248,1,1,0,0,1,0,0,0,1,1,0,1,0,1
249,1,1,0,1,0,0,0,1,1,1,0,1,1,1
250,1,1,0,1,1,0,0,1,1,0,1,0,0,1
251,0,0,0,0,1,0,1,1,1,1,0,0,1,1
252,1,1,1,0,1,0,0,1,1,0,1,1,0,1
253,1,0,0,0,1,0,0,0,1,1,0,0,0,1
254,1,1,0,1,1,0,0,1,1,0,0,0,1,1
255,1,1,0,0,1,0,0,0,1,0,0,0,0,1
256,0,1,0,0,0,0,1,0,1,1,0,0,0,1
257,1,1,0,1,0,0,0,1,1,0,0,0,0,1
258,1,0,0,0,0,1,0,0,1,1,1,1,0,1
259,1,1,0,0,1,0,0,0,1,0,0,1,0,0
260,1,0,0,1,1,0,0,1,1,0,0,0,0,1
261,1,0,0,0,0,0,0,0,1,1,0,0,0,1
262,1,1,0,0,1,0,0,1,1,0,0,0,1,0
263,1,1,0,1,0,0,0,1,1,0,0,1,1,1
264,0,1,0,0,0,0,1,0,1,1,0,0,0,1
265,0,0,0,1,0,1,0,1,1,0,1,1,1,0
266,1,0,1,1,0,1,0,1,0,0,0,1,1,1
267,1,1,0,0,1,0,0,0,1,1,1,0,1,1
268,1,1,0,0,1,0,0,0,0,1,0,0,0,0
269,1,1,0,0,1,0,0,0,1,1,0,0,1,1
